a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03338418,0.1130689,0.17395215384615384,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-722.3492999999999711,-636.676900000000046,-708.4482820571882574,-21107.773013849360723,-20930.079689821854117,-21078.940880214439673
0.03340607,0.08130191,0.12507986153846154,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-591.1346999999999525,-539.467200000000048,-582.7512434310206262,-17339.776084874323715,-17255.290498510432371,-17326.067636739876557
0.03342904,0.03679435,0.05660669230769231,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-296.17509999999998627,-264.498299999999972,-291.03529108638417944,-8650.434338339255191,-8591.723803299926658,-8640.9080941694424265
0.03346453,0.1058687,0.16287492307692306,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-692.3383999999999787,-606.32770000000004984,-678.3824902323992657,-20166.204593463124183,-19978.338893369138532,-20135.721912134651356
0.0334907,0.2421193,0.3724912307692308,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-1126.4819999999999709,-1009.50699999999994816,-1107.5018900245539372,-32887.09230191079405,-32660.110748856171995,-32850.262767058262813
0.03351721,0.124796,0.19199384615384615,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-791.73299999999994725,-721.00909999999998945,-780.25749326871165845,-23144.570681282151781,-23022.712105561720819,-23124.798172894675183
0.03378762,0.2187494,0.33653753846153844,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-1084.5789999999999509,-977.01530000000002474,-1067.1259471650704093,-31408.792532524254057,-31205.744822245724208,-31375.846451127807892
0.03452209,0.05561963,0.08556866153846154,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.0066554983335033666,0.7487395865324111,-455.78800000000001091,-413.35950000000002547,-448.90364354696977375,-12929.5350989439029945,-12845.714469235617798,-12915.934545235209
0.03011726,0.01355509,0.02053801515151515,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-87.04192000000000462,-81.82895000000000607,-86.19607478607650676,-2823.2904013735392255,-2805.9254856684469814,-2820.472807786900761
0.03011844,0.01706479,0.025855742424242423,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.66,0.006654638530640785,0.76174001094047,-117.23390000000000555,-106.581800000000001205,-115.505513340718544917,-3795.404311019108718,-3761.0696740515486454,-3789.8332472395719723
