a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.01067237,0.3206585,0.4858462121212121,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-450.70530000000002246,-327.585899999999981,-431.97678093520847004,-39885.447611674986547,-38440.574592446173483,-39665.658269891074358
0.0106728,0.04890326,0.07409584848484847,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-134.04779999999999518,-108.100099999999997635,-130.10072103326126944,-11981.4910168266451365,-11750.812678123833393,-11946.40098500200834
0.01067555,0.3962798,0.6004239393939393,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-495.38959999999997308,-360.21739999999999782,-474.82764855506265717,-43827.97134421797091,-42246.822366634878563,-43587.452150890671398
0.01067668,0.210817,0.31941969696969696,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-366.219600000000014,-266.69080000000002428,-351.07960558566868478,-32399.560098959715106,-31246.60729252794772,-32224.176701899118278
0.01067699,0.3955026,0.5992463636363636,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-500.40670000000000073,-364.21879999999998745,-479.69024360446911878,-44326.71212288908282,-42728.871534799844085,-44083.65385655146602
0.01067915,0.05892768,0.08928436363636363,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-154.03249999999999886,-110.91859999999999786,-147.47415502668534473,-13582.135546598441579,-13005.331297122493197,-13494.393977171014411
0.01068445,0.3612462,0.5473427272727273,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-481.26179999999999382,-350.35009999999999764,-461.34794183260905956,-42602.367313145383378,-41066.844138611915696,-42368.788567239541027
0.01068661,0.1466546,0.22220393939393937,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-297.79700000000002547,-212.89560000000000173,-284.88207766828387582,-26279.041716480252944,-25223.083002550025412,-26118.4127424479309
0.010689,0.3619537,0.5484146969696969,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-476.76040000000000418,-346.81900000000001683,-456.99414068420002477,-42129.459235103451647,-40611.395929750382493,-41898.536427196124087
0.01069027,0.09999141,0.15150213636363635,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-229.70720000000000027,-163.77010000000001355,-219.67706474570972341,-20235.096057041220774,-19388.586445192366227,-20106.327793030505898
0.0106916,0.3470969,0.5259043939393939,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-468.0192000000000121,-340.51209999999997535,-448.6232384111173271,-41347.693874369600962,-39860.218471074949775,-41121.423997737545687
0.01069321,0.1533562,0.23235787878787878,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-298.86419999999998254,-208.5911999999999864,-285.13216750523533197,-26265.844498384089093,-25137.483724184570747,-26094.201960558541717
0.01069723,0.3464192,0.5248775757575757,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-472.84480000000002065,-344.41149999999998954,-453.30794790679543482,-41810.225856903438398,-40308.412900060109678,-41581.774998679700392
0.01069796,0.302231,0.4579257575757576,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-428.27989999999999782,-311.14069999999998117,-410.46106933290423396,-37765.745353838086885,-36399.036937703480362,-37557.846154949951334
0.01069803,0.0856816,0.12982060606060605,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-209.48740000000000805,-163.10710000000000264,-202.43218097862115333,-18598.929488008823682,-18169.86009777709478,-18533.660860521414147
0.01070021,0.1272258,0.19276636363636362,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-273.12060000000002447,-206.72360000000000468,-263.02050626704677017,-24184.943820463024167,-23496.448101267462334,-24080.212111219949856
0.01070065,0.3027728,0.45874666666666664,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-423.94009999999997262,-307.73120000000000118,-406.26278351577040557,-37319.06791516798694,-35968.8511785494411,-37113.67737644410204
0.0107024,0.07249792,0.10984533333333332,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-179.922300000000007,-119.473399999999998045,-170.72701171809092095,-15730.773049130963045,-14935.239957064270129,-15609.75916601064414
0.010703,0.07864133,0.11915353030303029,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-191.03170000000000073,-140.25509999999999877,-183.30773025075419139,-16809.632153530063079,-16269.16567761616534,-16727.418166960648334
0.01070713,0.11154,0.16899999999999998,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-246.2067000000000121,-166.40240000000000009,-234.06713179220868239,-21559.29407636601536,-20513.273201347019494,-21400.17681377406566
0.01071159,0.1152703,0.1746519696969697,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-252.22649999999998727,-173.84889999999998622,-240.30395671394916483,-22114.309297043000697,-21130.886066191265854,-21964.714182643761907
0.01071419,0.1361056,0.20622060606060605,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-282.96929999999997563,-213.81129999999998859,-272.44921200831991756,-24992.813095396366407,-24241.32340259173725,-24878.498949626600064
0.01071867,0.1373169,0.20805590909090907,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-289.70179999999999154,-219.11629999999999541,-278.96456539320493034,-25625.908746897330275,-24854.973094336226495,-25508.636545548736029
0.01071939,0.08102417,0.12276389393939394,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-199.87289999999998713,-147.3907000000000096,-191.88947997633026064,-17623.118982378746296,-17062.895532820450171,-17537.899629818582023
0.01072139,0.2549543,0.38629439393939397,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-404.90140000000002374,-295.51740000000000919,-388.26226490526143023,-35709.052820689146756,-34441.316449854821258,-35516.20892451761824
0.01072348,0.05882868,0.08913436363636364,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-155.44380000000001019,-112.006500000000002615,-148.83626048004564119,-13670.612391728513103,-13090.903417310646546,-13582.42896507588325
0.01072515,0.101224,0.15336969696969696,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-231.8831000000000131,-166.04400000000001114,-221.8678721840854046,-20352.927128612416709,-19518.76501918510985,-20226.037126147034728
0.01073963,0.09542682,0.1445860909090909,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-230.41429999999999723,-176.75069999999999482,-222.25116928554437178,-20391.252999251755682,-19806.603316861441272,-20302.318008317170131
0.01074511,0.09441629,0.14305498484848483,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-227.47270000000000323,-174.25729999999998654,-219.37774799860535205,-20106.882236611687404,-19525.887746731550578,-20018.503261565843932
0.01074586,0.2137862,0.32391848484848484,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-359.95990000000000464,-264.23029999999999973,-345.39782742114672107,-31590.60388672402405,-30509.887264949175005,-31426.208821002880383
0.01074737,0.1598427,0.2421859090909091,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-314.38049999999998363,-224.83129999999999882,-300.75856958580993128,-27605.5198801878214,-26541.518704700891249,-27443.667513297894676
0.01075278,0.08550617,0.12955480303030303,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-211.77119999999999322,-165.22470000000001278,-204.69069918006974935,-18731.492951652093325,-18301.886239759820455,-18666.142588557104792
0.01075503,0.1010542,0.15311242424242422,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-234.24320000000000164,-167.79779999999999518,-224.13574381788978793,-20533.772664577711112,-19691.947177275254944,-20405.716934220257336
0.0107559,0.08017398,0.12147572727272728,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-198.11619999999999209,-146.19139999999998736,-190.21756983500984248,-17401.517393173118762,-16851.21363332371402,-17317.806991256231072
0.01075827,0.1615532,0.24477757575757575,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-319.64809999999999945,-228.91249999999999432,-305.84569831143345506,-28059.53732333683729,-26983.732573654589942,-27895.889435478243659
0.01076162,0.08493165,0.12868431818181816,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-206.62110000000001264,-160.95390000000000441,-199.67435541031188091,-18207.563771192177228,-17792.916324105855892,-18144.488962364946252
0.01076206,0.1406571,0.21311681818181819,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-288.59440000000000737,-212.71989999999999554,-277.05262007107307567,-25316.18573388335426,-24433.96182964509353,-25181.984728924416757
0.0107626,0.1419089,0.21501348484848484,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-295.4877999999999929,-218.11770000000001346,-283.71851430745415434,-25972.31904056658459,-25069.747849289666192,-25835.02287308069903
0.01076306,0.05870789,0.08895134848484848,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-156.67199999999999704,-112.93359999999999843,-150.01865813621997126,-13746.706543113097723,-13164.0059632487264025,-13658.068043258038502
0.01077321,0.05945623,0.09008519696969697,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-157.79779999999999518,-114.17079999999999984,-151.16140393861843647,-13827.4042485302470595,-13251.826898514160348,-13739.849311022116256
0.01077654,0.09561254,0.14486748484848483,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-229.78260000000000218,-176.6168999999999869,-221.69520819949586983,-20248.806188733680756,-19678.064747162046842,-20161.986873747243099
0.0107824,0.1008473,0.15279893939393938,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-236.31669999999999732,-169.31770000000000209,-226.12503200273905682,-20691.113196540201898,-19842.113898102368694,-20561.966209576426515
0.01078625,0.09460997,0.1433484393939394,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-226.97589999999999577,-174.25319999999999254,-218.95589590562262242,-19970.367024031071196,-19403.630533294654015,-19884.156929021916195
0.01079129,0.1105643,0.16752166666666665,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-242.39979999999999905,-163.41259999999999764,-230.3845263625837798,-21012.512431161270797,-19988.261148356188642,-20856.706687491692307
0.01079323,0.09361488,0.14184072727272726,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-224.10249999999999204,-171.81790000000000873,-216.14913823983059533,-19691.01396520284834,-19127.909075010313245,-19605.356297349947345
0.01080807,0.1191252,0.18049272727272728,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-261.1915000000000191,-186.63659999999998718,-249.8504532923030376,-22773.740657485755946,-21909.306038013237412,-22642.245700143069168
0.01081041,0.1058687,0.1604071212121212,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-234.65409999999999968,-158.12049999999999272,-223.01205994216077987,-20294.75351640838926,-19284.958230528889544,-20141.146771548269042
0.01081347,0.08478012,0.12845472727272728,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-208.99399999999999977,-163.13890000000000668,-202.01867267897729315,-18355.137971053529327,-17939.37393156709004,-18291.893309854915444
0.0108154,0.0593405,0.08990984848484848,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-159.098700000000008,-115.16920000000000357,-152.41628863138742303,-13906.089123841529727,-13327.792447822224858,-13818.120531386293916
0.01081665,0.1021249,0.15473469696969697,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-238.74729999999999563,-171.79449999999999932,-228.5626597951161568,-20831.821140952477435,-19994.221462984853133,-20704.408226842434516
0.01083299,0.09476899,0.14358937878787878,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-226.35120000000000573,-174.15899999999999181,-218.41189382458480815,-19812.10692099723019,-19260.409452610001608,-19728.184512711551726
0.01083351,0.1549861,0.23482742424242423,0.2713226502018911,0.04867734979810887,0.32,2e-09,0.66,0.012076480325609302,0.7993060780513473,-307.29759999999998854,-215.75929999999999609,-293.37309422179925314,-26693.795556463170215,-25574.391461723782413,-26523.515479322341632
